Source,Target,Value
1967-1976_D_4,1972-1981_E_0,12
1982-1991_G_3,1987-1996_H_7,15
1957-1966_B_0,1962-1971_C_0,14
1962-1971_C_0,1967-1976_D_0,16
1967-1976_D_0,1972-1981_E_2,11
1972-1981_E_2,1977-1986_F_1,30
1977-1986_F_1,1982-1991_G_2,20
1982-1991_G_2,1987-1996_H_0,22
1987-1996_H_0,1992-2001_I_1,8
1987-1996_H_1,1992-2001_I_4,10
1977-1986_F_1,1982-1991_G_1,10
1982-1991_G_1,1987-1996_H_3,21
1987-1996_H_3,1992-2001_I_6,10
1952-1961_A_0,1957-1966_B_1,5
1952-1961_A_1,1957-1966_B_1,16
1977-1986_F_3,1982-1991_G_5,2
1967-1976_D_4,1972-1981_E_1,8
1972-1981_E_1,1987-1996_H_1,1
1962-1971_C_0,1972-1981_E_1,2
1972-1981_E_1,1977-1986_F_3,23
1977-1986_F_3,1982-1991_G_0,31
1982-1991_G_0,1987-1996_H_0,10
1987-1996_H_0,1992-2001_I_6,22
1987-1996_H_7,1992-2001_I_1,28
1967-1976_D_3,1972-1981_E_0,23
1972-1981_E_0,1977-1986_F_2,14
1977-1986_F_2,1982-1991_G_4,25
1982-1991_G_4,1987-1996_H_4,2
1962-1971_C_0,1987-1996_H_3,1
1987-1996_H_3,1992-2001_I_0,14
1982-1991_G_4,1987-1996_H_3,10
1987-1996_H_3,1992-2001_I_3,8
1977-1986_F_0,1982-1991_G_1,15
1967-1976_D_0,1972-1981_E_1,20
1972-1981_E_1,1977-1986_F_2,15
1977-1986_F_2,1982-1991_G_3,18
1952-1961_A_2,1977-1986_F_1,1
1977-1986_F_1,1982-1991_G_3,12
1977-1986_F_2,1982-1991_G_6,3
1982-1991_G_6,1987-1996_H_2,4
1987-1996_H_0,1992-2001_I_3,12
1982-1991_G_3,1987-1996_H_4,4
1987-1996_H_4,1992-2001_I_2,30
1982-1991_G_0,1987-1996_H_4,34
1982-1991_G_3,1987-1996_H_3,2
1987-1996_H_3,1992-2001_I_7,2
1957-1966_B_0,1987-1996_H_7,2
1977-1986_F_2,1982-1991_G_1,1
1982-1991_G_1,1987-1996_H_0,11
1957-1966_B_2,1972-1981_E_2,1
1957-1966_B_0,1962-1971_C_2,9
1962-1971_C_2,1972-1981_E_2,12
1962-1971_C_5,1967-1976_D_0,1
1967-1976_D_0,1977-1986_F_2,1
1957-1966_B_1,1977-1986_F_2,2
1987-1996_H_7,1992-2001_I_9,9
1977-1986_F_4,1982-1991_G_2,9
1957-1966_B_1,1962-1971_C_1,2
